device_key,display_name,family,idx,folder,backend,job_id,created,shots,unique_bitstrings,<Z^10>,|<Z^10>|,prediction,H[bits]_bits,mean_HW,readout_spread,xeb_linear_2n_Ep2,parity_even_frac,top_bitstring,test_index_ideal,true_label_ideal,test_index,true_label,ideal_Z_all_expectation,ideal_prediction,ideal_entropy_bits,ideal_linear_xeb_purity,ideal_top_bitstring,ideal_top_prob,ideal_mean_hamming,ideal_prediction_matches_label,has_ideal_ref,Z_err_empirical_minus_ideal,entropy_err_vs_ideal,purity_delta_hw_minus_ideal,correct_vs_true_label,correct_vs_ideal_prediction,circuit_idx,test_index_x,test_index_y
iqm_garnet,IQM Garnet (Braket),Braket,1,qvc_test_001,iqm_garnet,iqm_garnet_qvc_test_001,qvc_test_001.json,1024,184,0.166015625,0.166015625,1.0,5.765539978632698,6.5908203125,0.3125,47.083984375,0.5830078125,1111111111,,,1.0,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,-0.2158067909170801,1.0563632303484152,-46.442513563591845,True,True,1,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,1,qvc_test_001,rigetti_cepheus,rigetti_cepheus_qvc_test_001,qvc_test_001.json,1024,337,0.0234375,0.0234375,1.0,7.497723158123446,6.685546875,0.3427734375,11.609375,0.51171875,1111111111,,,1.0,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,-0.3583849159170801,2.788546409839163,-81.91712293859185,True,True,1,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,1,qvc_test_001,braket_sv1,braket_sv1_qvc_test_001,qvc_test_001.json,1024,114,0.3671875,0.3671875,1.0,4.633507199597923,6.876953125,0.3798828125,92.685546875,0.68359375,1111111111,,,1.0,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,-0.0146349159170801,-0.0756695486863598,-0.8409510635918451,True,True,1,,
braket_tn1,Braket TN1 (Amazon sim),Braket sim,1,qvc_test_001,braket_tn1,braket_tn1_qvc_test_001,qvc_test_001.json,1000,104,0.398,0.398,1.0,4.487069946914175,6.937,0.389,101.72006399999998,0.699,1111111111,,,1.0,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,0.0161775840829199,-0.2221068013701082,8.193566061408134,True,True,1,,
ionq_native_simulator,IonQ simulator (native cloud),IonQ native,1,qvc_test_001,ionq_native_simulator,ionq_native_simulator_qvc_test_001,20260707_084925Z/qvc_test_001.json,1024,108,0.404296875,0.404296875,1.0,4.5495751757746,6.8896484375,0.3974609375,96.7890625,0.7021484375,1111111111,,,,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,0.0224744590829198,-0.1596015725096826,3.262564561408155,True,True,1,1.0,1.0
ionq_native_forte_1,IonQ Forte-1 (native cloud),IonQ native,1,qvc_test_001,ionq_native_forte_1,ionq_native_forte_1_qvc_test_001,20260707_084925Z/qvc_test_001.json,1025,135,0.3112195121951219,0.3112195121951219,1.0,5.045398100218563,6.832195121951219,0.3580487804878048,74.6714688875669,0.655609756097561,1111111111,,,,1.0,0.3818224159170801,1,4.709176748284283,93.52649793859185,1111111111,0.1839888871803092,6.820639177104529,,True,-0.0706029037219581,0.33622135193428,-18.855029051024943,True,True,1,1.0,1.0
ibm_kingston,IBM Kingston,IBM,2,vqc_ibm_kingston_02,ibm_kingston,d7nk2fu2jamc73boj540,2026-04-27T10:58:07.710925Z,1024,117,0.3046875,0.3046875,1.0,4.632552683489555,6.302734375,0.625,106.3671875,0.65234375,1110110010,2.0,1.0,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,True,True,-0.078642260786937,0.161867284597422,-13.052981513187646,True,True,2,,
ibm_fez,IBM Fez,IBM,2,fez_vqc_002,ibm_fez,d7vm407mrars73d8cadg,2026-05-09T16:34:08.576996Z,1024,155,0.16015625,0.16015625,1.0,5.481862530946245,6.06640625,0.5439453125,57.939453125,0.580078125,1110110010,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.2231735107869371,1.0111771320541116,-61.480715888187646,True,True,2,,
ibm_marrakesh,IBM Marrakesh,IBM,2,qvc_test_002,ibm_marrakesh,marrakesh_qvc_test_002,qvc_test_002.json,1024,119,0.333984375,0.333984375,1.0,4.655304765906783,6.3427734375,0.5927734375,100.71875,0.6669921875,100110111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.049345385786937,0.1846193670146494,-18.70141901318765,True,True,2,,
iqm_emerald,IQM Emerald (Braket),Braket,2,qvc_test_002,iqm_emerald,iqm_emerald_qvc_test_002,qvc_test_002.json,1024,216,0.19140625,0.19140625,1.0,6.1024518983923,6.1015625,0.5380859375,44.578125,0.595703125,100110111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.1919235107869371,1.6317664995001673,-74.84204401318765,True,True,2,,
iqm_garnet,IQM Garnet (Braket),Braket,2,qvc_test_002,iqm_garnet,iqm_garnet_qvc_test_002,qvc_test_002.json,1024,181,0.189453125,0.189453125,1.0,5.637329224639903,6.1767578125,0.5615234375,60.302734375,0.5947265625,100110111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.1938766357869371,1.1666438257477705,-59.117434638187646,True,True,2,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,2,qvc_test_002,rigetti_cepheus,rigetti_cepheus_qvc_test_002,qvc_test_002.json,1024,343,-0.00390625,0.00390625,-1.0,7.5283452535527955,6.8515625,0.4248046875,10.37890625,0.498046875,1111111111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.3872360107869371,3.0576598546606624,-109.04126276318765,False,False,2,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,2,qvc_test_002,braket_sv1,braket_sv1_qvc_test_002,qvc_test_002.json,1024,97,0.359375,0.359375,1.0,4.454083648212935,6.41796875,0.5927734375,106.951171875,0.6796875,100110111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.023954760786937,-0.0166017506791984,-12.468997138187646,True,True,2,,
braket_tn1,Braket TN1 (Amazon sim),Braket sim,2,qvc_test_002,braket_tn1,braket_tn1_qvc_test_002,qvc_test_002.json,1000,100,0.33,0.33,1.0,4.42745759654184,6.367,0.6200000000000001,117.08006400000004,0.665,100110111,,,2.0,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.053329760786937,-0.0432278023502936,-2.3401050131876104,True,True,2,,
ionq_native_simulator,IonQ simulator (native cloud),IonQ native,2,qvc_test_002,ionq_native_simulator,ionq_native_simulator_qvc_test_002,20260707_084925Z/qvc_test_002.json,1024,99,0.373046875,0.373046875,1.0,4.377390022156376,6.3310546875,0.6103515625,119.50390625,0.6865234375,100110111,,,,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.010282885786937,-0.0932953767357567,0.0837372368123539,True,True,2,2.0,2.0
ionq_native_forte_1,IonQ Forte-1 (native cloud),IonQ native,2,qvc_test_002,ionq_native_forte_1,ionq_native_forte_1_qvc_test_002,20260707_084925Z/qvc_test_002.json,1025,121,0.3365853658536585,0.3365853658536585,1.0,4.777946440686439,6.302439024390244,0.551219512195122,96.14513265913143,0.6682926829268293,100110111,,,,1.0,0.3833297607869371,1,4.470685398892133,119.42016901318765,100110111,0.2695099263890745,6.364287112273369,,True,-0.0467443949332785,0.3072610417943062,-23.2750363540562,True,True,2,2.0,2.0
ibm_kingston,IBM Kingston,IBM,3,vqc_ibm_kingston_03,ibm_kingston,d7nk34qk4prs73dscnfg,2026-04-27T10:59:31.60822Z,1024,145,0.248046875,0.248046875,1.0,5.308114742586596,3.5185546875,0.5166015625,65.1875,0.6240234375,1100011,3.0,1.0,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,True,True,-0.117083874642917,0.4345759680034708,-28.99603750373504,True,True,3,,
ibm_fez,IBM Fez,IBM,3,fez_vqc_003,ibm_fez,d7vm4jlpa59c73b63280,2026-05-09T16:35:26.497508Z,1024,173,0.201171875,0.201171875,1.0,5.724194573558069,3.6513671875,0.5185546875,51.224609375,0.6005859375,1100011,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.163958874642917,0.8506557989749446,-42.95892812873504,True,True,3,,
ibm_marrakesh,IBM Marrakesh,IBM,3,qvc_test_003,ibm_marrakesh,marrakesh_qvc_test_003,qvc_test_003.json,1024,126,0.353515625,0.353515625,1.0,4.885425555595607,3.4619140625,0.576171875,94.22265625,0.6767578125,1100011000,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.011615124642917,0.0118867810124818,0.0391187462649611,True,True,3,,
iqm_emerald,IQM Emerald (Braket),Braket,3,qvc_test_003,iqm_emerald,iqm_emerald_qvc_test_003,qvc_test_003.json,1024,230,0.14453125,0.14453125,1.0,6.338162917472676,3.658203125,0.5126953125,34.62109375,0.572265625,1100011000,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.220599499642917,1.4646241428895517,-59.56244375373504,True,True,3,,
iqm_garnet,IQM Garnet (Braket),Braket,3,qvc_test_003,iqm_garnet,iqm_garnet_qvc_test_003,qvc_test_003.json,1024,203,0.087890625,0.087890625,1.0,6.16121654686966,3.7685546875,0.46484375,34.416015625,0.5439453125,1100011000,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.2772401246429171,1.2876777722865356,-59.76752187873504,True,True,3,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,3,qvc_test_003,rigetti_cepheus,rigetti_cepheus_qvc_test_003,qvc_test_003.json,1024,357,-0.05078125,0.05078125,-1.0,7.795858609557149,4.8046875,0.419921875,7.322265625,0.474609375,1110011110,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.4159119996429171,2.922319834974024,-86.86127187873504,False,False,3,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,3,qvc_test_003,braket_sv1,braket_sv1_qvc_test_003,qvc_test_003.json,1024,106,0.3203125,0.3203125,1.0,4.700650622887991,3.435546875,0.5673828125,94.017578125,0.66015625,1100011000,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.044818249642917,-0.1728881516951332,-0.1659593787350388,True,True,3,,
braket_tn1,Braket TN1 (Amazon sim),Braket sim,3,qvc_test_003,braket_tn1,braket_tn1_qvc_test_003,qvc_test_003.json,1000,115,0.306,0.306,1.0,4.813645523040038,3.473,0.5710000000000001,86.55872,0.653,1100011000,,,3.0,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.059130749642917,-0.0598932515430865,-7.624817503735045,True,True,3,,
ionq_native_simulator,IonQ simulator (native cloud),IonQ native,3,qvc_test_003,ionq_native_simulator,ionq_native_simulator_qvc_test_003,20260707_084925Z/qvc_test_003.json,1024,104,0.345703125,0.345703125,1.0,4.728928293714173,3.4599609375,0.57421875,93.08203125,0.6728515625,1100011000,,,,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.019427624642917,-0.1446104808689519,-1.1015062537350389,True,True,3,3.0,3.0
ionq_native_forte_1,IonQ Forte-1 (native cloud),IonQ native,3,qvc_test_003,ionq_native_forte_1,ionq_native_forte_1_qvc_test_003,20260707_084925Z/qvc_test_003.json,1025,126,0.2253658536585366,0.2253658536585366,1.0,5.15117208869308,3.528780487804878,0.5482926829268293,69.44535300416416,0.6126829268292683,1100011000,,,,1.0,0.3651307496429171,1,4.873538774583125,94.18353750373504,1100011000,0.2224242029994974,3.477280796007142,,True,-0.1397648959843805,0.2776333141099556,-24.73818449957088,True,True,3,3.0,3.0
ibm_kingston,IBM Kingston,IBM,4,vqc_ibm_kingston_04,ibm_kingston,d7nk3ls97osc73ds5sc0,2026-04-27T11:00:39.774482Z,1024,129,0.162109375,0.162109375,1.0,4.958436492963306,5.0654296875,0.814453125,80.328125,0.5810546875,1001110000,4.0,1.0,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,True,True,-0.0344492536777482,0.1523887641240113,-14.24211014073768,True,True,4,,
ibm_fez,IBM Fez,IBM,4,fez_vqc_004,ibm_fez,d7vm5crack5s73bfjlfg,2026-05-09T16:37:07.657627Z,1024,167,0.162109375,0.162109375,1.0,5.575577100717687,4.9892578125,0.7470703125,56.755859375,0.5810546875,1001110011,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.0344492536777482,0.7695293718783924,-37.81437576573768,True,True,4,,
ibm_marrakesh,IBM Marrakesh,IBM,4,qvc_test_004,ibm_marrakesh,marrakesh_qvc_test_004,qvc_test_004.json,1024,129,0.171875,0.171875,1.0,4.9415077953309,5.076171875,0.7744140625,81.94921875,0.5859375,1100111001,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.0246836286777482,0.1354600664916052,-12.62101639073768,True,True,4,,
iqm_emerald,IQM Emerald (Braket),Braket,4,qvc_test_004,iqm_emerald,iqm_emerald_qvc_test_004,qvc_test_004.json,1024,218,0.03125,0.03125,1.0,6.260490168022548,5.041015625,0.7373046875,34.86328125,0.515625,111001,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.1653086286777482,1.4544424391832536,-59.70695389073768,True,True,4,,
iqm_garnet,IQM Garnet (Braket),Braket,4,qvc_test_004,iqm_garnet,iqm_garnet_qvc_test_004,qvc_test_004.json,1024,201,0.001953125,0.001953125,1.0,6.044825833458402,4.9345703125,0.6826171875,38.345703125,0.5009765625,111001,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.1946055036777482,1.238778104619108,-56.22453201573768,True,True,4,,
rigetti_cepheus,Rigetti Cepheus (Braket),Braket,4,qvc_test_004,rigetti_cepheus,rigetti_cepheus_qvc_test_004,qvc_test_004.json,1024,331,0.025390625,0.025390625,1.0,7.582959247639567,6.0947265625,0.5712890625,9.359375,0.5126953125,1110111111,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,-0.1711680036777482,2.776911518800273,-85.21086014073768,True,True,4,,
braket_sv1,Braket SV1 (Amazon sim),Braket sim,4,qvc_test_004,braket_sv1,braket_sv1_qvc_test_004,qvc_test_004.json,1024,119,0.197265625,0.197265625,1.0,4.741007313876533,5.0849609375,0.802734375,90.2734375,0.5986328125,1100111001,,,4.0,1.0,0.1965586286777482,1,4.806047728839294,94.57023514073768,1100111001,0.2136963281127981,5.09097165306162,,True,0.0007069963222517,-0.0650404149627608,-4.29679764073768,True,True,4,,
